image_id,file_name,type,truth,prediction,cascade_result_stage,stages_run,ocr_original_512,ocr_rotation_270,ocr_highres_1024,ocr_clahe,label_source,labeler_note
2814,002814.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-04-02,NONE,original_no_candidate,4,(날짜 관련 글자 없음),유용기한,유관기한,(날짜 관련 글자 없음),candidate/existing_300,기울기보정필요
2928,002928.jpg,D1 날짜 글자를 찾지 못함(검출 실패),NONE-04-08,NONE,original_no_candidate,4,유동기한스,(날짜 관련 글자 없음),동입한 유통기한계품으로 문장되었습니다,유통기한A,approved/incoming_432,
3014,003014.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-06-12,NONE,original_no_candidate,4,13:4414,Lets stay connoctoe,BEST 부EFOR트 2 | 1등:44301017,BEST | 19:44W,candidate/existing_300,2021 JUN 12
3016,003016.jpg,D3 날짜 일부만 읽음(잘림·누락),2022-07-01,2022-07-NONE,original_512,4,M00237-070 | 080-215-9500 | 2022.07.0,080-215-9500,M00237-070 | 080-215-9500 | 2022.07.0 | 880914117470237,ME0237-07 | 080-215-9500 | 2022.07.0,candidate/incoming_432,
3218,003218.jpg,D2 날짜는 읽었지만 숫자 오인식,2021-06-16,2021-03-16,original_512,1,"°제품명:밀크테이스트와플(탈지분유9.14% 항유) | ·원재료명: 밀가루(소액분),설탕,평유,탈지분유 9.14% | 12(6은2,000kca) | 16.03.2021",(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,DD.MM.YYYY
3311,003311.jpg,D3 날짜 일부만 읽음(잘림·누락),2021-03-11,2019-03-NONE,original_512,1,03.2019 | 3.2021,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,DD.MM.YYYY
3312,003312.jpg,D3 날짜 일부만 읽음(잘림·누락),2021-03-11,2021-03-NONE,clahe,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),03.2021,candidate/existing_300,"DD.MM.YYYY, 기울기/밝기 보정 필요"
3326,003326.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2024-06-05,NONE,original_no_candidate,4,JUN ,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/existing_300,05 JUN 2024
3338,003338.jpg,D2 날짜는 읽었지만 숫자 오인식,2021-06-01,NONE,original_no_candidate,4,"Add:M3 Zone 11 And Bulding D No.13-7&oB, Jinyuan | 0.4신 | Best Bel | 202N06/01",202N06/01 | Best Bel | 0.4명사과척 | 표시일까지,"표시일까지( | Add:M3 Zone 11 And Bullding D No.13-7&08, Jinyuan | 0.4%사과신책 | Best Bel c | 202N06/01","Add:M3 Zone 11 And Bullding D No.13-7aoB, Jinyuan | 0.4 | 20206/01",candidate/existing_300,빛 반사 심해서 나도 헷갈림
3350,3350.jpeg,D2 날짜는 읽었지만 숫자 오인식,2025-12-10,NONE,original_no_candidate,4,"4,500 | 소비김한년 월 읽 시간까지 | 25.2.18137 | 880111801237221010 | 풍목보고번호:20000347052-3048 | 소비기한 | 한2025:1",품목보고번호:20000347052-3048 | 880111801237221010,"4,500 | 소비김한(년 월 일 시간)까지 | 25.412.1015시 | 880111801237221010 | 품목보고번호:20000347052-3048 | 제조원:롯데용인CK 주식회사/경기도 용인시 기흥구 중부대로874번길 2-1","4,500 | 소비김한년 월 읽 시간까지 | 25.42.1515 | 880111801237221010 | 품목보고번호:20000347052-3048 | 2ME 080-024-6060 | 소비기한 | 한2025:1",candidate/existing_300,
3351,3351.jpeg,D1 날짜 글자를 찾지 못함(검출 실패),2025-12-10,NONE,original_no_candidate,4,2.2,20.22,270.00,20.22,candidate/incoming_432,
