image_id,file_name,historical_prediction,fresh_prediction,historical_truth,canonical_truth,historical_correct,historical_canonical_correct,fresh_historical_truth_correct,fresh_canonical_correct,normalization_changed_verdict,inference_changed_verdict,prediction_changed,historical_method,fresh_method
1746,001746.jpg,2021-10-12,2021-10-12,2021-10-12,2021-10-12,True,True,True,True,False,False,False,original_512,original_512
1747,001747.jpg,2021-10-12,2021-10-12,2021-10-12,2021-10-12,True,True,True,True,False,False,False,original_512,original_512
1800,001800.jpg,2021-01-14,2021-01-14,2021-01-14,2021-01-14,True,True,True,True,False,False,False,original_512,original_512
1815,001815.jpg,2022-06-07,2022-06-07,2022-06-07,2022-06-07,True,True,True,True,False,False,False,original_512,original_512
1823,001823.jpg,2021-06-09,2021-06-09,2021-06-09,2021-06-09,True,True,True,True,False,False,False,original_512,original_512
1869,001869.jpg,2021-09-26,2021-09-26,2021-09-26,2021-09-26,True,True,True,True,False,False,False,original_512,original_512
1898,001898.jpg,2021-05-29,2021-05-29,2021-05-29,2021-05-29,True,True,True,True,False,False,False,original_512,original_512
1955,001955.jpg,NONE,NONE,2021-10-NONE,2021-10-NONE,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
1977,001977.jpg,2021-01-14,2021-01-14,2021-01-14,2021-01-14,True,True,True,True,False,False,False,original_512,original_512
1980,001980.jpg,2022-10-15,2022-10-15,2022-10-15,2022-10-15,True,True,True,True,False,False,False,original_512,original_512
1982,001982.jpg,2021-10-20,2021-10-20,2021-10-20,2021-10-20,True,True,True,True,False,False,False,original_512,original_512
2033,002033.jpg,2022-03-22,2022-03-22,2022-03-22,2022-03-22,True,True,True,True,False,False,False,original_512,original_512
2034,002034.jpg,2017-12-20,2017-12-20,2020-12-17,2020-12-17,False,False,False,False,False,False,False,original_512,original_512
2037,002037.jpg,2020-08-22,2020-08-22,2020-08-22,2020-08-22,True,True,True,True,False,False,False,original_512,original_512
2042,002042.jpg,2020-08-27,2020-08-27,2020-08-27,2020-08-27,True,True,True,True,False,False,False,original_512,original_512
2066,002066.jpg,2024-04-05,2024-04-05,2020-04-30,2020-04-30,False,False,False,False,False,False,False,original_512,original_512
2133,002133.jpg,2021-10-04,2021-10-04,2021-10-04,2021-10-04,True,True,True,True,False,False,False,original_512,original_512
2134,002134.jpg,2022-11-02,2022-11-02,2022-11-02,2022-11-02,True,True,True,True,False,False,False,original_512,original_512
2141,002141.jpg,2021-04-11,2021-04-11,2021-04-11,2021-04-11,True,True,True,True,False,False,False,original_512,original_512
2146,002146.jpg,2022-07-26,2022-07-26,2022-07-26,2022-07-26,True,True,True,True,False,False,False,original_512,original_512
2197,002197.jpg,2021-01-13,2021-01-13,2021-01-13,2021-01-13,True,True,True,True,False,False,False,original_512,original_512
2221,002221.jpg,2022-06-03,2022-06-03,2022-06-03,2022-06-03,True,True,True,True,False,False,False,original_512,original_512
2233,002233.jpg,2023-01-21,2023-01-21,2023-01-21,2023-01-21,True,True,True,True,False,False,False,highres_1024,highres_1024
2245,002245.jpg,2021-05-21,2021-05-21,2021-05-21,2021-05-21,True,True,True,True,False,False,False,clahe,clahe
2251,002251.jpg,NONE,NONE,2021-05-09,2021-05-09,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2258,002258.jpg,2022-01-24,2022-01-24,2022-01-24,2022-01-24,True,True,True,True,False,False,False,highres_1024,highres_1024
2284,002284.jpg,2022-01-06,2022-01-06,2022-01-06,2022-01-06,True,True,True,True,False,False,False,original_512,original_512
2306,002306.jpg,2021-11-23,2021-11-23,2021-11-23,2021-11-23,True,True,True,True,False,False,False,original_512,original_512
2327,002327.jpg,2022-10-23,2022-10-23,2022-10-23,2022-10-23,True,True,True,True,False,False,False,original_512,original_512
2370,002370.jpg,2022-05-12,2022-05-12,2022-05-12,2022-05-12,True,True,True,True,False,False,False,original_512,original_512
2376,002376.jpg,2019-10-28,2019-10-28,2019-10-28,2019-10-28,True,True,True,True,False,False,False,original_512,original_512
2387,002387.jpg,2021-01-14,2021-01-14,2021-01-14,2021-01-14,True,True,True,True,False,False,False,original_512,original_512
2404,002404.jpg,NONE,NONE,2020-11-11,2020-11-11,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2428,002428.jpg,2020-12-23,2020-12-23,2020-12-23,2020-12-23,True,True,True,True,False,False,False,original_512,original_512
2436,002436.jpg,2021-05-03,2021-05-03,2021-06-03,2021-06-03,False,False,False,False,False,False,False,clahe,clahe
2504,002504.jpg,2022-01-06,2022-01-06,2022-01-06,2022-01-06,True,True,True,True,False,False,False,original_512,original_512
2521,002521.jpg,2023-10-02,2023-10-02,2023-10-02,2023-10-02,True,True,True,True,False,False,False,original_512,original_512
2522,002522.jpg,2022-09-14,2022-09-14,2022-09-14,2022-09-14,True,True,True,True,False,False,False,original_512,original_512
2586,002586.jpg,NONE,NONE,2022-12-NONE,2022-12-NONE,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2611,002611.jpg,2021-12-01,2021-12-01,2021-12-01,2021-12-01,True,True,True,True,False,False,False,original_512,original_512
2634,002634.jpg,2022-02-03,2022-02-03,2022-02-03,2022-02-03,True,True,True,True,False,False,False,original_512,original_512
2651,002651.jpg,2021-08-18,2021-08-18,2021-08-18,2021-08-18,True,True,True,True,False,False,False,original_512,original_512
2740,002740.jpg,2021-12-18,2021-12-18,2021-12-18,2021-12-18,True,True,True,True,False,False,False,original_512,original_512
2747,002747.jpg,2022-01-08,2022-01-08,2022-01-08,2022-01-08,True,True,True,True,False,False,False,original_512,original_512
2752,002752.jpg,2022-01-NONE,2022-01-NONE,2022-01-NONE,2022-01-NONE,True,True,True,True,False,False,False,original_512,original_512
2765,002765.jpg,2021-03-16,2021-03-16,2021-03-16,2021-03-16,True,True,True,True,False,False,False,highres_1024,highres_1024
2790,002790.jpg,2021-12-06,2021-12-06,2021-12-06,2021-12-06,True,True,True,True,False,False,False,original_512,original_512
2823,002823.jpg,2021-10-07,2021-10-07,2021-10-07,2021-10-07,True,True,True,True,False,False,False,original_512,original_512
2831,002831.jpg,2022-05-21,2022-05-21,2022-05-21,2022-05-21,True,True,True,True,False,False,False,highres_1024,highres_1024
2857,002857.jpg,2023-06-02,2023-06-02,2023-06-02,2023-06-02,True,True,True,True,False,False,False,original_512,original_512
2859,002859.jpg,2022-06-15,2022-06-15,2022-06-15,2022-06-15,True,True,True,True,False,False,False,original_512,original_512
2860,002860.jpg,2022-06-15,2022-06-15,2022-06-15,2022-06-15,True,True,True,True,False,False,False,original_512,original_512
2870,002870.jpg,2021-02-25,2021-02-25,2021-02-25,2021-02-25,True,True,True,True,False,False,False,original_512,original_512
2877,002877.jpg,2022-12-04,2022-12-04,2022-12-04,2022-12-04,True,True,True,True,False,False,False,original_512,original_512
2917,002917.jpg,2030-04-21,2030-04-21,2021-04-30,2021-04-30,False,False,False,False,False,False,False,original_512,original_512
2927,002927.jpg,NONE,NONE,NONE-04-08,NONE-04-08,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2963,002963.jpg,2020-11-06,2020-11-06,2020-11-06,2020-11-06,True,True,True,True,False,False,False,original_512,original_512
2990,002990.jpg,2021-03-20,2021-03-20,2021-03-20,2021-03-20,True,True,True,True,False,False,False,rotation_270,rotation_270
2994,002994.jpg,2022-07-13,2022-07-13,2022-07-13,2022-07-13,True,True,True,True,False,False,False,original_512,original_512
3010,003010.jpg,2021-12-11,2021-12-11,2021-12-11,2021-12-11,True,True,True,True,False,False,False,original_512,original_512
3020,003020.jpg,2021-03-23,2021-03-23,2021-03-23,2021-03-23,True,True,True,True,False,False,False,original_512,original_512
3043,003043.jpg,2020-07-13,2020-07-13,2020-07-13,2020-07-13,True,True,True,True,False,False,False,original_512,original_512
3078,003078.jpg,2021-12-13,2021-12-13,2021-12-13,2021-12-13,True,True,True,True,False,False,False,original_512,original_512
3087,003087.jpg,2021-06-30,2021-06-30,2021-06-30,2021-06-30,True,True,True,True,False,False,False,original_512,original_512
3129,003129.jpg,2022-08-25,2022-08-25,2022-08-25,2022-08-25,True,True,True,True,False,False,False,original_512,original_512
3148,003148.jpg,2022-01-14,2022-01-14,2022-01-14,2022-01-14,True,True,True,True,False,False,False,original_512,original_512
3206,003206.jpg,2021-04-13,2021-04-13,2021-04-13,2021-04-13,True,True,True,True,False,False,False,original_512,original_512
3228,003228.jpg,2022-04-26,2022-04-26,2022-04-26,2022-04-26,True,True,True,True,False,False,False,original_512,original_512
3277,003277.jpg,NONE,NONE,NONE-04-05,NONE-04-05,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
3280,003280.jpg,2023-07-31,2023-07-31,2023-07-31,2023-07-31,True,True,True,True,False,False,False,original_512,original_512
3310,003310.jpg,2020-08-29,2020-08-29,2020-08-29,2020-08-29,True,True,True,True,False,False,False,original_512,original_512
3313,003313.jpg,2021-07-05,2021-07-05,2021-07-05,2021-07-05,True,True,True,True,False,False,False,highres_1024,highres_1024
3338,003338.jpg,NONE,NONE,2021-06-01,2021-06-01,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
